fluent_name,frequency
cw,4
gone,4
present,4
inverted,4
cutting,4
have-cut,4
splicing,4
splice-next,4
splicing-last,4
inverse-splicing,4
inverse-splice-next,4
inverse-splicing-last,4
finished,4
cut-point-1,4
cut-point-2,4
last-cut-point,4
splice-point-1,4
splice-point-2,4
s-first,4
s-next,4
s-last,4
same_line,4
diagonal,4
at_car_jun,4
at_car_road,4
done,4
today,4
at_square,4
at_two,4
at_right_l,4
at_tent,4
at_person,4
at_car,4
partners,4
up,4
down,4
walked,4
fuel,3
fuelcost,3
sum,3
association-reaction,3
synthesis-reaction,3
catalyzed-association-reaction,3
possible,3
chosen,3
can-move,3
can-pushback,3
move-back-dir,3
is-blocked,3
has-type,3
at-segment,3
facing,3
blocked,3
is-start-runway,3
airborne,3
is-moving,3
is-pushing,3
is-parked,3
ace,3
king,3
bottomtalon,3
toptalon,3
ontalon,3
talonplayable,3
instack,3
faceup,3
colsuccessor,3
province,3
planet,3
food,3
pleasure,3
pain,3
eats,3
craves,3
fears,3
locale,3
harmony,3
attacks,3
orbits,3
energy,2
ready,2
baking,2
treated,2
baked,2
structured,2
baked-structure,2
handfree,2
mended,2
light,2
mcs_finished,2
changed,2
done_sleep,2
done_pre_sleep,2
done_post_sleep,2
done_dpc,2
done_meal,2
done_exercise,2
done_remove_sleep_station,2
done_first_reconfigure_thermal_loop,2
done_replace_rpcm,2
done_assemble_sleep_station,2
done_second_reconfigure_thermal_loop,2
done_rpcm,2
payload_act_done,2
payload_act_completed,2
currentday,2
busy,2
shape,2
incell,2
cellspace,2
deliverable,2
loaded,2
sent_image,2
in_sun,2
at-robby,2
carry,2
movie-rewound,2
counter-at-two-hours,2
counter-at-zero,2
have-chips,2
have-dip,2
have-pop,2
have-cheese,2
have-crackers,2
obj,2
truck,2
airplane,2
city,2
airport,2
no-access,1
not-boarded,1
not-served,1
part,1
temperature,1
scheduled,1
objscheduled,1
painted,1
has-hole,1
has-bit,1
can-orient,1
has-paint,1
floor,1
passenger,1
machine-available,1
machine-configured,1
ready-to-load,1
stored,1
on-sale,1
stacks-in-use,1
num-subs,1
active,1
connected-by-land,1
connected-by-rail,1
connected-by-sea,1
woodland,1
mountain,1
metalliferous,1
by-coast,1
has-cabin,1
has-coal-stack,1
has-quarry,1
has-mine,1
has-sawmill,1
has-ironworks,1
has-docks,1
has-wharf,1
is-cart,1
is-train,1
is-ship,1
is-at,1
potential,1
at-equipment,1
at-packagec,1
at-packagel,1
at-packagev,1
at-vehicle,1
availablel,1
availabler,1
availablev,1
chute-connected,1
connect-city,1
connect-loc,1
door-open,1
fees-collected,1
hose-connected,1
h-start,1
hub,1
in-region,1
move,1
move-emp,1
over,1
pv-compatible,1
ramp-connected,1
ramp-down,1
rv-compatible,1
serves,1
tcenter,1
t-end,1
t-start,1
typel,1
typep,1
typev,1
typevp,1
unload,1
valve-open,1
at_jun,1
certified,1
aided,1
uncertified,1
identified,1
vehicle_involve,1
connects,1
in_city,1
route_available,1
trapped,1
untrapped,1
on_fire,1
off_fire,1
not-made,1
max-count,1
has-petrol-station,1
ready-loading,1
conn,1
key-shape,1
lock-shape,1
place,1
key,1
locked,1
open,1
arm-empty,1
room,1
ball,1
gripper,1
complete,1
requires,1
committed,1
incorporated,1
part-of,1
to-be-removed,1
assemble-order,1
transient-part,1
remove-order,1
counter-at-other-than-two-hours,1
chips,1
dip,1
pop,1
cheese,1
crackers,1
